Player,Season Group,Y/R,Y/Tgt,Succ%
Brandin Cooks,Group1,13.20,8.50,55.00
Brandin Cooks,Group2,11.50,6.80,50.33
Brandin Cooks,Difference,-12.88,-20.00,-8.48
