Player,Season,Y/R,Y/Tgt,Succ%
Jordan Akins,2018,13.20,9.00,52.00
Jordan Akins,2019,11.60,7.60,49.10
Jordan Akins,2020,10.90,8.20,65.30
Jordan Akins,2021,8.90,6.50,57.60
Jordan Akins,2022,13.40,9.20,53.70
Jordan Akins,2023,8.80,5.70,52.20
Jordan Akins,2024,9.80,6.70,51.70
