Player,Season,Y/P,Lng
Tress Way,2014,47.50,77.00
Tress Way,2015,46.10,64.00
Tress Way,2016,45.10,61.00
Tress Way,2017,45.70,64.00
Tress Way,2018,45.30,63.00
Tress Way,2019,49.60,79.00
Tress Way,2020,48.00,65.00
Tress Way,2021,48.40,66.00
Tress Way,2022,46.80,68.00
Tress Way,2023,46.00,66.00
Tress Way,2024,46.90,74.00
