Player,Season Group,PD,Comb,Solo,Ast
Amani Hooker,Group1,4.00,44.33,29.33,15.00
Amani Hooker,Group2,6.33,67.33,51.67,15.67
Amani Hooker,Difference,2.33,23.00,22.33,0.67
