Player,Season,FG%,Lng
BrandonMcManus,2014,69.20,44.00
BrandonMcManus,2015,85.70,57.00
BrandonMcManus,2016,85.30,55.00
BrandonMcManus,2017,75.00,53.00
BrandonMcManus,2018,80.00,53.00
BrandonMcManus,2019,85.30,53.00
BrandonMcManus,2020,82.40,58.00
BrandonMcManus,2021,83.90,61.00
BrandonMcManus,2022,77.80,55.00
BrandonMcManus,2023,81.10,56.00
BrandonMcManus,2024,95.20,55.00
