Player,Season Group,PD,Comb,Solo,Ast
Cameron Jordan,Group1,4.00,54.33,36.33,18.00
Cameron Jordan,Group2,3.00,47.67,26.00,21.67
Cameron Jordan,Difference,-25.00,-12.27,-28.44,20.37
