Player,Season Group,PD,Comb,Solo,Ast
Larry Ogunjobi,Group1,0.33,48.33,29.00,19.33
Larry Ogunjobi,Group2,0.67,44.00,20.67,23.33
Larry Ogunjobi,Difference,0.33,-4.33,-8.33,4.00
