Position,NumPlayers,AvgDiff_PD,AvgDiff_Comb,AvgDiff_Solo,AvgDiff_Ast,OverallAvgDiff,AvgDiff_FG%,AvgDiff_Lng,AvgDiff_Y/P,AvgDiff_Y/A,AvgDiff_Y/R,AvgDiff_Succ%,AvgDiff_1D,AvgDiff_Y/Tgt
CB,13,110.59961065734025,36.55376377458931,30.5683675003947,57.809722808660744,58.88286618524625,,,,,,,,
LB,20,79.42327714478503,37.33331172492743,37.813997908576006,39.13986619333229,48.42761324290518,,,,,,,,
S,8,19.428933854243446,42.178904865862066,40.08378853646639,50.36655925234589,38.01454662722945,,,,,,,,
P,1,,,,,5.00235404896423,,5.555555555555562,4.4491525423729,,,,,
K,5,,,,,-1.0752948856214524,-3.8322575079304926,1.6816677366875876,,,,,,
RB,7,,,,,-2.2909867564560673,,,,-2.6976559125578343,0.801619036006457,3.4745289763298155,-10.742439125602706,
WR,17,,,,,-4.670628272343395,,,,,-10.93292112136453,3.4668459853987668,,-6.545809681064425
