Player,Season Group,Yds,Cmp%,Int,TD,1D
Kirk Cousins,Group1,4029.67,67.67,8.67,31.33,189.67
Kirk Cousins,Group2,3462.00,67.43,11.67,21.67,168.33
Kirk Cousins,Difference,-14.09,-0.34,34.62,-30.85,-11.25
