Player,Season Group,Yds,Cmp%,Int,TD,1D
Lamar Jackson,Group1,2922.00,64.97,9.33,26.00,144.67
Lamar Jackson,Group2,3364.00,65.40,6.00,27.33,156.67
Lamar Jackson,Difference,15.13,0.67,-35.71,5.13,8.29
