Player,Season Group,Y/A,Y/R,Succ%,1D
jamaalwilliams,Group1,4.13,6.70,53.07,31.33
jamaalwilliams,Group2,3.47,5.27,46.87,31.67
jamaalwilliams,Difference,-16.13,-21.39,-11.68,1.06
