Player,Season Group,Y/A,Y/R,Succ%,1D
Ty Johnson,Group1,4.30,7.20,48.53,10.44
Ty Johnson,Group2,4.97,10.67,55.30,8.67
Ty Johnson,Difference,15.50,48.15,13.94,-17.02
