Player,Season Group,Y/R,Y/Tgt,Succ%
DK Metcalf,Group1,14.70,8.87,52.73
DK Metcalf,Group2,14.50,8.67,50.00
DK Metcalf,Difference,-1.36,-2.26,-5.18
