Player,Season Group,Y/A,Y/R,Succ%,1D
jamaalwilliams,Group1,4.13,6.70,53.07,31.33
jamaalwilliams,Group2,3.47,5.27,46.87,31.67
jamaalwilliams,Difference,-0.67,-1.43,-6.20,0.33
