Player,Season Group,Y/A,Y/R,Succ%,1D
D'Ernest Johnson,Group1,5.20,7.90,31.47,10.33
D'Ernest Johnson,Group2,3.80,8.10,54.67,4.33
D'Ernest Johnson,Difference,-26.92,2.53,73.73,-58.06
