Player,Season,PD,Comb,Solo,Ast
Neville Hewitt,2015,3.00,39.00,27.00,12.00
Neville Hewitt,2016,1.00,64.00,40.00,24.00
Neville Hewitt,2017,0.00,1.00,1.00,0.00
Neville Hewitt,2018,0.00,39.00,26.00,13.00
Neville Hewitt,2019,5.00,75.00,44.00,31.00
Neville Hewitt,2020,4.00,134.00,91.00,43.00
Neville Hewitt,2021,0.00,60.00,37.00,23.00
Neville Hewitt,2022,0.00,14.00,10.00,4.00
Neville Hewitt,2023,0.00,14.00,8.00,6.00
Neville Hewitt,2024,3.00,59.00,31.00,28.00
