Player,Season,PD,Comb,Solo,Ast
Dane Cruikshank,2018,0.00,11.00,10.00,1.00
Dane Cruikshank,2019,0.00,10.00,6.00,4.00
Dane Cruikshank,2020,1.00,1.00,0.00,1.00
Dane Cruikshank,2021,1.00,43.00,30.00,13.00
Dane Cruikshank,2022,0.00,1.00,0.00,1.00
Dane Cruikshank,2023,0.00,0.00,0.00,0.00
Dane Cruikshank,2024,0.00,0.00,0.00,0.00
