Player,Season Group,PD,Comb,Solo,Ast
Kenny Moore,Group1,9.67,81.00,66.67,14.33
Kenny Moore,Group2,5.67,78.67,56.33,22.33
Kenny Moore,Difference,-4.00,-2.33,-10.33,8.00
