Player,Season Group,Y/R,Y/Tgt,Succ%
Adam Thielen,Group1,12.40,8.30,54.87
Adam Thielen,Group2,10.93,8.00,55.33
Adam Thielen,Difference,-1.47,-0.30,0.47
