Player,Season Group,Y/R,Y/Tgt,Succ%
Jordan Akins,Group1,10.47,7.43,57.33
Jordan Akins,Group2,10.67,7.20,52.53
Jordan Akins,Difference,0.20,-0.23,-4.80
