Player,Season,PD,Comb,Solo,Ast
Sebastian Joseph-Day,2019,1.00,44.00,25.00,19.00
Sebastian Joseph-Day,2020,3.00,55.00,35.00,20.00
Sebastian Joseph-Day,2021,0.00,38.00,23.00,15.00
Sebastian Joseph-Day,2022,1.00,56.00,27.00,29.00
Sebastian Joseph-Day,2023,0.00,24.00,12.67,11.33
Sebastian Joseph-Day,2024,1.00,44.00,18.00,26.00
