Player,Season Group,PD,Comb,Solo,Ast
Shy Tuttle,Group1,3.00,31.33,14.00,17.33
Shy Tuttle,Group2,4.33,46.00,22.33,23.67
Shy Tuttle,Difference,44.44,46.81,59.52,36.54
