Player,Season Group,PD,Comb,Solo,Ast
Grady Jarrett,Group1,0.33,60.00,34.33,25.67
Grady Jarrett,Group2,1.67,45.67,23.00,22.67
Grady Jarrett,Difference,1.33,-14.33,-11.33,-3.00
