Player,Season Group,PD,Comb,Solo,Ast
Austin Johnson,Group1,1.00,37.67,16.67,21.00
Austin Johnson,Group2,1.67,29.00,15.67,13.33
Austin Johnson,Difference,0.67,-8.67,-1.00,-7.67
