Player,Season,Y/A,Y/R,Succ%,1D
Raheem Mostert,2015,,,,0.00
Raheem Mostert,2016,6.00,,100.00,0.00
Raheem Mostert,2017,5.00,,50.00,1.00
Raheem Mostert,2018,7.70,4.20,64.70,13.00
Raheem Mostert,2019,5.60,12.90,48.90,31.00
Raheem Mostert,2020,5.00,9.80,49.00,22.00
Raheem Mostert,2021,10.00,,100.00,1.00
Raheem Mostert,2022,4.90,6.50,55.20,44.00
Raheem Mostert,2023,4.80,7.00,55.00,59.00
Raheem Mostert,2024,3.30,8.50,37.60,13.00
