Player,Season,Y/A,Y/R,Succ%,1D
Craig Reynolds,2019,,,,0.00
Craig Reynolds,2020,4.00,3.00,100.00,0.00
Craig Reynolds,2021,4.20,7.40,43.60,11.00
Craig Reynolds,2022,4.40,12.90,39.10,4.00
Craig Reynolds,2023,4.40,9.40,43.90,11.00
Craig Reynolds,2024,4.50,13.30,54.80,6.00
