Player,Season,PD,Comb,Solo,Ast
Charles Omenihu,2019,2.00,13.00,8.00,5.00
Charles Omenihu,2020,2.00,17.00,11.00,6.00
Charles Omenihu,2021,0.67,11.33,9.33,2.00
Charles Omenihu,2022,1.00,20.00,7.00,13.00
Charles Omenihu,2023,2.00,28.00,18.00,10.00
Charles Omenihu,2024,0.00,6.00,4.00,2.00
