Player,Season,PD,Comb,Solo,Ast
Austin Johnson,2016,1.00,14.00,7.00,7.00
Austin Johnson,2017,1.00,24.00,15.00,9.00
Austin Johnson,2018,2.00,22.00,13.00,9.00
Austin Johnson,2019,1.00,23.00,11.00,12.00
Austin Johnson,2020,1.00,18.00,8.00,10.00
Austin Johnson,2021,1.00,72.00,31.00,41.00
Austin Johnson,2022,1.00,22.00,16.00,6.00
Austin Johnson,2023,2.00,46.00,24.00,22.00
Austin Johnson,2024,2.00,19.00,7.00,12.00
