Player,Season Group,PD,Comb,Solo,Ast
Frankie Luvu,Group1,0.67,26.67,17.67,9.00
Frankie Luvu,Group2,5.33,111.67,65.33,46.33
Frankie Luvu,Difference,700.00,318.75,269.81,414.81
