Player,Season Group,PD,Comb,Solo,Ast
jalenreeves-maybin,Group1,1.33,43.00,30.00,13.00
jalenreeves-maybin,Group2,0.67,16.33,10.67,5.67
jalenreeves-maybin,Difference,-50.00,-62.02,-64.44,-56.41
