Player,Season,Comb,Solo,Ast
Zach Triner,2019,1.00,1.00,0.00
Zach Triner,2020,2.00,2.00,0.00
Zach Triner,2021,3.00,3.00,0.00
Zach Triner,2022,1.00,0.00,1.00
Zach Triner,2023,3.00,2.00,1.00
Zach Triner,2024,0.00,0.00,0.00
