Player,Season,Comb,Solo,Ast
Laken Tomlinson,2015,0.00,0.00,0.00
Laken Tomlinson,2016,0.00,0.00,0.00
Laken Tomlinson,2017,0.00,0.00,0.00
Laken Tomlinson,2018,0.00,0.00,0.00
Laken Tomlinson,2019,0.00,0.00,0.00
Laken Tomlinson,2020,0.00,0.00,0.00
Laken Tomlinson,2021,0.00,0.00,0.00
Laken Tomlinson,2022,0.00,0.00,0.00
Laken Tomlinson,2023,0.00,0.00,0.00
Laken Tomlinson,2024,0.00,0.00,0.00
